  29   22   45   42   52   42   53   56   69   64   66   78   67   56   55   59   38   48   28   21   20
  21   38   38   56   59   57   66   74   83   92   96   88   85   75   58   69   44   54   48   38   38
  44   39   54   56   55   78   70   86   99   95  101   93   82   80   84   70   56   60   54   36   34
  39   42   57   66   65   85   93   95  110  107  122  106   96  101   84   85   79   64   47   51   38
  38   61   73   70   91   92  103  101  108  133  139  119  117  101   96   97   80   79   64   45   43
  58   68   63   86   80   99  118  127  133  140  143  141  122  129  101  100   99   86   61   64   45
  54   69   71   94  106  108  123  135  141  145  160  146  143  131  113  105  102   97   72   59   48
  60   64   85  102  108  110  138  143  146  169  184  158  148  136  133  124  115  105   79   77   54
  60   86   90  103  119  139  150  164  170  177  195  180  163  155  135  131  119   97   98   75   70
  65   89   92  115  126  143  157  165  181  192  211  189  186  173  159  137  135  103  104   80   76
  69   99   99  116  135  155  172  190  191  203  233  216  187  173  161  151  127  122  108   90   84
  70   83   99  110  136  140  155  170  182  187  206  201  183  169  157  148  133  111  107   74   75
  56   84   97  113  107  133  136  152  166  189  195  187  175  161  142  125  112  106   82   82   64
  54   77   81   94  110  124  135  148  148  178  176  169  152  144  140  123  108   94   84   78   69
  55   76   76   82  103  104  114  124  149  163  168  151  147  139  131  101   91   88   68   58   54
  45   56   66   83   95  100  111  122  128  141  146  146  129  123  116  101  100   78   78   62   45
  37   61   70   64   77   95   99  113  127  124  143  121  118  101   96   90   88   78   61   61   35
  46   52   61   64   76   87   90   92  100  115  113  106   96  103   94   83   82   71   51   51   35
  37   37   49   57   59   68   80   76   84   89   98   92   84   92   77   68   62   54   51   37   25
  22   44   38   47   63   66   70   76   84   86   96   78   82   65   61   53   60   38   46   35   24
  33   32   25   37   38   48   60   58   68   62   69   72   56   53   48   50   48   44   44   26   24
